方法,分类,注释,参数,解释,例子
stock_hk_hist_min_em,A 股东方财富,东方财富网-行情-港股-每日分时行情,symbol;period;adjust;start_date;end_date,"东方财富网-行情-港股-每日分时行情\nhttps://quote.eastmoney.com/hk/00948.html\n:param symbol: 股票代码\n:type symbol: str\n:param period: choice of {'1', '5', '15', '30', '60'}\n:type period: str\n:param adjust: choice of {'', 'qfq', 'hfq'}\n:type adjust: str\n:param start_date: 开始日期\n:type start_date: str\n:param end_date: 结束日期\n:type end_date: str\n:return: 每日分时行情\n:rtype: pandas.DataFrame",
stock_hk_hot_rank_detail_em,东方财富个股人气榜-港股,东方财富-个股人气榜-历史趋势,symbol,东方财富-个股人气榜-历史趋势\nhttps://guba.eastmoney.com/rank/stock?code=HK_00700\n:param symbol: 带市场表示的证券代码\n:type symbol: str\n:return: 个股的历史趋势\n:rtype: pandas.DataFrame,
stock_hk_hot_rank_detail_realtime_em,东方财富个股人气榜-港股,东方财富-个股人气榜-实时变动,symbol,东方财富-个股人气榜-实时变动\nhttps://guba.eastmoney.com/rank/stock?code=HK_00700\n:param symbol: 带市场表示的证券代码\n:type symbol: str\n:return: 实时变动\n:rtype: pandas.DataFrame,
stock_hk_hot_rank_em,东方财富个股人气榜-港股,东方财富-个股人气榜-人气榜-港股市场,,东方财富-个股人气榜-人气榜-港股市场\nhttps://guba.eastmoney.com/rank/\n:return: 人气榜\n:rtype: pandas.DataFrame,
stock_hk_hot_rank_latest_em,东方财富个股人气榜-港股,东方财富-个股人气榜-最新排名,symbol,东方财富-个股人气榜-最新排名\nhttps://guba.eastmoney.com/rank/stock?code=HK_00700\n:param symbol: 带市场表示的证券代码\n:type symbol: str\n:return: 最新排名\n:rtype: pandas.DataFrame,
stock_hk_index_daily_em,港股股票指数数据-新浪-东财,东方财富网-港股-股票指数数据,symbol,东方财富网-港股-股票指数数据\nhttps://quote.eastmoney.com/gb/zsHSTECF2L.html\n:param symbol: 港股指数代码; 可以通过 ak.stock_hk_index_spot_em() 获取\n:type symbol: str\n:return: 指数数据\n:rtype: pandas.DataFrame,
stock_hk_index_daily_sina,港股股票指数数据-新浪-东财,新浪财经-港股指数-历史行情数据,symbol,"新浪财经-港股指数-历史行情数据\nhttps://stock.finance.sina.com.cn/hkstock/quotes/CES100.html\n:param symbol: CES100, 港股指数代码\n:type symbol: str\n:return: 历史行情数据\n:rtype: pandas.DataFrame",
stock_hk_index_spot_em,港股股票指数数据-新浪-东财,东方财富网-行情中心-港股-指数实时行情,,东方财富网-行情中心-港股-指数实时行情\nhttps://quote.eastmoney.com/center/gridlist.html#hk_index\n:return: 指数行情\n:rtype: pandas.DataFrame,
stock_hk_index_spot_sina,港股股票指数数据-新浪-东财,新浪财经-行情中心-港股指数,,"新浪财经-行情中心-港股指数\n大量采集会被目标网站服务器封禁 IP, 如果被封禁 IP, 请 10 分钟后再试\nhttps://vip.stock.finance.sina.com.cn/mkt/#zs_hk\n:return: 所有指数的实时行情数据\n:rtype: pandas.DataFrame",
stock_hk_indicator_eniu,A 股PE和PB,亿牛网-港股指标,symbol;indicator,"亿牛网-港股指标\nhttps://eniu.com/gu/hk01093/roe\n:param symbol: 港股代码\n:type symbol: str\n:param indicator: 需要获取的指标, choice of {""港股"", ""市盈率"", ""市净率"", ""股息率"", ""ROE"", ""市值""}\n:type indicator: str\n:return: 指定 symbol 和 indicator 的数据\n:rtype: pandas.DataFrame",
stock_hk_main_board_spot_em,A 股东方财富,东方财富网-港股-主板-实时行情,,东方财富网-港股-主板-实时行情\nhttps://quote.eastmoney.com/center/gridlist.html#hk_mainboard\n:return: 港股-主板-实时行情\n:rtype: pandas.DataFrame,
stock_hk_profit_forecast_et,港股盈利预测,经济通-公司资料-盈利预测,symbol;indicator,"经济通-公司资料-盈利预测\nhttps://www.etnet.com.hk/www/sc/stocks/realtime/quote_profit.php?code=9999\n:param symbol: 股票代码\n:type symbol: str\n:param indicator: ""盈利预测概览""; choice of {""评级总览"", ""去年度业绩表现"", ""综合盈利预测"", ""盈利预测概览""}\n:type indicator: str\n:return: 盈利预测\n:rtype: pandas.DataFrame",
stock_hk_security_profile_em,东方财富-港股-证券资料,东方财富-港股-证券资料,symbol,东方财富-港股-证券资料\nhttps://emweb.securities.eastmoney.com/PC_HKF10/pages/home/index.html?code=03900&type=web&color=w#/CompanyProfile\n:param symbol: 股票代码\n:type symbol: str\n:return: 证券资料\n:rtype: pandas.DataFrame,
stock_hk_spot,新浪-港股实时行情数据和历史数据(前复权和后复权因子),新浪财经-港股的所有港股的实时行情数据,,新浪财经-港股的所有港股的实时行情数据\nhttps://vip.stock.finance.sina.com.cn/mkt/#qbgg_hk\n:return: 实时行情数据\n:rtype: pandas.DataFrame,
stock_hk_spot_em,A 股东方财富,东方财富网-港股-实时行情,,东方财富网-港股-实时行情\nhttps://quote.eastmoney.com/center/gridlist.html#hk_stocks\n:return: 港股-实时行情\n:rtype: pandas.DataFrame,
stock_hk_valuation_baidu,百度股市通-港股-财务报表-估值数据,百度股市通-港股-财务报表-估值数据,symbol;indicator;period,"百度股市通-港股-财务报表-估值数据\nhttps://gushitong.baidu.com/stock/hk-06969\n:param symbol: 股票代码\n:type symbol: str\n:param indicator: choice of {""总市值"", ""市盈率(TTM)"", ""市盈率(静)"", ""市净率"", ""市现率""}\n:type indicator: str\n:param period: choice of {""近一年"", ""近三年"", ""全部""}\n:type period: str\n:return: 估值数据\n:rtype: pandas.DataFrame",
stock_hold_change_cninfo,巨潮资讯-数据中心-专题统计-股东股本-股本变动,巨潮资讯-数据中心-专题统计-股东股本-股本变动,symbol,"巨潮资讯-数据中心-专题统计-股东股本-股本变动\nhttps://webapi.cninfo.com.cn/#/thematicStatistics\n:param symbol: choice of {""深市主板"", ""沪市"", ""创业板"", ""科创板"", ""北交所"", ""全部""}\n:type symbol: str\n:return: 股本变动\n:rtype: pandas.DataFrame",
stock_hold_control_cninfo,实际控制人持股变动,巨潮资讯-数据中心-专题统计-股东股本-实际控制人持股变动,symbol,"巨潮资讯-数据中心-专题统计-股东股本-实际控制人持股变动\nhttps://webapi.cninfo.com.cn/#/thematicStatistics\n:param symbol: choice of {""单独控制"", ""实际控制人"", ""一致行动人"", ""家族控制"", ""全部""}; 从 2010 开始\n:type symbol: str\n:return: 实际控制人持股变动\n:rtype: pandas.DataFrame",
stock_hold_management_detail_cninfo,实际控制人持股变动,巨潮资讯-数据中心-专题统计-股东股本-高管持股变动明细,symbol,"巨潮资讯-数据中心-专题统计-股东股本-高管持股变动明细\nhttps://webapi.cninfo.com.cn/#/thematicStatistics\n:param symbol: choice of {""增持"", ""减持""}\n:type symbol: str\n:return: 高管持股变动明细\n:rtype: pandas.DataFrame",
stock_hold_management_detail_em,东方财富网-数据中心-特色数据-高管持股,东方财富网-数据中心-特色数据-高管持股-董监高及相关人员持股变动明细,,东方财富网-数据中心-特色数据-高管持股-董监高及相关人员持股变动明细\nhttps://data.eastmoney.com/executive/list.html\n:return: 董监高及相关人员持股变动明细\n:rtype: pandas.DataFrame,
stock_hold_management_person_em,东方财富网-数据中心-特色数据-高管持股,东方财富网-数据中心-特色数据-高管持股-人员增减持股变动明细,symbol;name,东方财富网-数据中心-特色数据-高管持股-人员增减持股变动明细\nhttps://data.eastmoney.com/executive/personinfo.html?name=%E5%90%B4%E8%BF%9C&code=001308\n:param symbol: 股票代码\n:type name: str\n:param name: 高管名称\n:type symbol: str\n:return: 人员增减持股变动明细\n:rtype: pandas.DataFrame,
stock_hold_num_cninfo,股东人数及持股集中度,巨潮资讯-数据中心-专题统计-股东股本-股东人数及持股集中度,date,"巨潮资讯-数据中心-专题统计-股东股本-股东人数及持股集中度\nhttps://webapi.cninfo.com.cn/#/thematicStatistics\n:param date: choice of {""XXXX0331"", ""XXXX0630"", ""XXXX0930"", ""XXXX1231""}; 从 20170331 开始\n:type date: str\n:return: 股东人数及持股集中度\n:rtype: pandas.DataFrame",
stock_hot_deal_xq,股票热度-雪球,雪球-沪深股市-热度排行榜-分享交易排行榜,symbol,"雪球-沪深股市-热度排行榜-分享交易排行榜\nhttps://xueqiu.com/hq\n:param symbol: choice of {""本周新增"", ""最热门""}\n:type symbol: str\n:return: 分享交易排行榜\n:rtype: pandas.DataFrame",
stock_hot_follow_xq,股票热度-雪球,雪球-沪深股市-热度排行榜-关注排行榜,symbol,"雪球-沪深股市-热度排行榜-关注排行榜\nhttps://xueqiu.com/hq\n:param symbol: choice of {""本周新增"", ""最热门""}\n:type symbol: str\n:return: 关注排行榜\n:rtype: pandas.DataFrame",
stock_hot_keyword_em,东方财富个股人气榜-A股,东方财富-个股人气榜-热门关键词,symbol,东方财富-个股人气榜-热门关键词\nhttps://guba.eastmoney.com/rank/stock?code=000665\n:param symbol: 带市场表示的证券代码\n:type symbol: str\n:return: 热门关键词\n:rtype: pandas.DataFrame,
stock_hot_rank_detail_em,东方财富个股人气榜-A股,东方财富-个股人气榜-历史趋势及粉丝特征,symbol,东方财富-个股人气榜-历史趋势及粉丝特征\nhttps://guba.eastmoney.com/rank/stock?code=000665\n:param symbol: 带市场表示的证券代码\n:type symbol: str\n:return: 个股的历史趋势及粉丝特征\n:rtype: pandas.DataFrame,
stock_hot_rank_detail_realtime_em,东方财富个股人气榜-A股,东方财富-个股人气榜-实时变动,symbol,东方财富-个股人气榜-实时变动\nhttps://guba.eastmoney.com/rank/stock?code=000665\n:param symbol: 带市场表示的证券代码\n:type symbol: str\n:return: 实时变动\n:rtype: pandas.DataFrame,
stock_hot_rank_em,东方财富个股人气榜-A股,东方财富-个股人气榜-人气榜,,东方财富-个股人气榜-人气榜\nhttps://guba.eastmoney.com/rank/\n:return: 人气榜\n:rtype: pandas.DataFrame,
stock_hot_rank_latest_em,东方财富个股人气榜-A股,东方财富-个股人气榜-最新排名,symbol,东方财富-个股人气榜-最新排名\nhttps://guba.eastmoney.com/rank/stock?code=000665\n:param symbol: 带市场表示的证券代码\n:type symbol: str\n:return: 最新排名\n:rtype: pandas.DataFrame,
stock_hot_rank_relate_em,东方财富个股人气榜-A股,东方财富-个股人气榜-相关股票,symbol,东方财富-个股人气榜-相关股票\nhttps://guba.eastmoney.com/rank/stock?code=000665\n:param symbol: 带市场表示的证券代码\n:type symbol: str\n:return: 相关股票\n:rtype: pandas.DataFrame,
stock_hot_search_baidu,百度股市通-热搜股票,百度股市通-热搜股票,symbol;date;time,"百度股市通-热搜股票\nhttps://gushitong.baidu.com/hotlist?mainTab=hotSearch&market=all\n:param symbol: choice of {""全部"", ""A股"", ""港股"", ""美股""}\n:type symbol: str\n:param date: 日期\n:type date: str\n:param time: time=""今日""；choice of {""今日"", ""1小时""}\n:type time: str\n:return: 热搜股票\n:rtype: pandas.DataFrame",
stock_hot_tweet_xq,股票热度-雪球,雪球-沪深股市-热度排行榜-讨论排行榜,symbol,"雪球-沪深股市-热度排行榜-讨论排行榜\nhttps://xueqiu.com/hq\n:param symbol: choice of {""本周新增"", ""最热门""}\n:type symbol: str\n:return: 讨论排行榜\n:rtype: pandas.DataFrame",
stock_hot_up_em,东方财富个股人气榜-A股,东方财富-个股人气榜-飙升榜,,东方财富-个股人气榜-飙升榜\nhttps://guba.eastmoney.com/rank/\n:return: 飙升榜\n:rtype: pandas.DataFrame,
stock_hsgt_board_rank_em,stock-em-hsgt,东方财富网-数据中心-沪深港通持股-行业板块排行-北向资金增持行业板块排行,symbol;indicator,"东方财富网-数据中心-沪深港通持股-行业板块排行-北向资金增持行业板块排行\nhttps://data.eastmoney.com/hsgtcg/bk.html\n:param symbol: choice of {""北向资金增持行业板块排行"", ""北向资金增持概念板块排行"", ""北向资金增持地域板块排行""}\n:type symbol: str\n:param indicator: choice of {""今日"", ""3日"", ""5日"", ""10日"", ""1月"", ""1季"", ""1年""}\n:type indicator: str\n:return: 北向资金增持行业板块排行\n:rtype: pandas.DataFrame",
stock_hsgt_fund_flow_summary_em,沪深港通持股,东方财富网-数据中心-资金流向-沪深港通资金流向,,东方财富网-数据中心-资金流向-沪深港通资金流向\nhttps://data.eastmoney.com/hsgt/index.html#lssj\n:return: 沪深港通资金流向\n:rtype: pandas.DataFrame,
stock_hsgt_fund_min_em,东方财富-数据中心-沪深港通-市场概括-分时数据,东方财富-数据中心-沪深港通-市场概括-分时数据,symbol,"东方财富-数据中心-沪深港通-市场概括-分时数据\nhttps://data.eastmoney.com/hsgt/hsgtDetail/scgk.html\n:param symbol: 北向资金; choice of {""北向资金"", ""南向资金""}\n:type symbol: str\n:return: 沪深港通持股-分时数据\n:rtype: pandas.DataFrame",
stock_hsgt_hist_em,stock-em-hsgt,东方财富网-数据中心-资金流向-沪深港通资金流向-沪深港通历史数据,symbol,"东方财富网-数据中心-资金流向-沪深港通资金流向-沪深港通历史数据\nhttps://data.eastmoney.com/hsgt/index.html\n:param symbol: choice of {""北向资金"", ""沪股通"", ""深股通"", ""南向资金"", ""港股通沪"", ""港股通深""}\n:type symbol: str\n:return: 沪深港通历史数据\n:rtype: pandas.DataFrame",
stock_hsgt_hold_stock_em,stock-em-hsgt,东方财富-数据中心-沪深港通持股-个股排行,market;indicator,"东方财富-数据中心-沪深港通持股-个股排行\nhttps://data.eastmoney.com/hsgtcg/list.html\n:param market: choice of {""北向"", ""沪股通"", ""深股通""}\n:type market: str\n:param indicator: choice of {""今日排行"", ""3日排行"", ""5日排行"", ""10日排行"", ""月排行"", ""季排行"", ""年排行""}\n:type indicator: str\n:return: 指定 sector 和 indicator 的数据\n:rtype: pandas.DataFrame",
stock_hsgt_individual_detail_em,沪深港通持股,东方财富-数据中心-沪深港通-沪深港通持股-具体股票详情,symbol;start_date;end_date,东方财富-数据中心-沪深港通-沪深港通持股-具体股票详情\nhttps://data.eastmoney.com/hsgtcg/StockHdStatistics/002008.html\n:param symbol: 股票代码\n:type symbol: str\n:param start_date: 开始时间\n:type start_date: str\n:param end_date: 结束时间\n:type end_date: str\n:return: 沪深港通持股-具体股票详情\n:rtype: pandas.DataFrame,
stock_hsgt_individual_em,沪深港通持股,东方财富-数据中心-沪深港通-沪深港通持股-具体股票,symbol,东方财富-数据中心-沪深港通-沪深港通持股-具体股票\nhttps://data.eastmoney.com/hsgt/StockHdDetail/002008.html\n:param symbol: 股票代码\n:type symbol: str\n:return: 具体股票-沪深港通持股\n:rtype: pandas.DataFrame,
stock_hsgt_institution_statistics_em,stock-em-hsgt,东方财富网-数据中心-沪深港通-沪深港通持股-每日机构统计,market;start_date;end_date,"东方财富网-数据中心-沪深港通-沪深港通持股-每日机构统计\nhttps://data.eastmoney.com/hsgtcg/InstitutionStatistics.aspx\n:param market: choice of {""北向持股"", ""南向持股"", ""沪股通持股"", ""深股通持股""}\n:type market: str\n:param start_date: 指定数据获取开始的时间, e.g., ""20200713""\n:type start_date: str\n:param end_date: 指定数据获取结束的时间, e.g., ""20200715""\n:type end_date:str\n:return: 指定市场和指定时间段的每日个股统计数据\n:rtype: pandas.DataFrame",
stock_hsgt_sh_hk_spot_em,东方财富网-行情中心-沪深港通,东方财富网-行情中心-沪深港通-港股通(沪>港)-股票,,东方财富网-行情中心-沪深港通-港股通(沪>港)-股票\nhttps://quote.eastmoney.com/center/gridlist.html#hk_sh_stocks\n:return: 东方财富网-行情中心-沪深港通-港股通(沪>港)-股票\n:rtype: pandas.DataFrame,
stock_hsgt_stock_statistics_em,stock-em-hsgt,东方财富网-数据中心-沪深港通-沪深港通持股-每日个股统计,symbol;start_date;end_date,"东方财富网-数据中心-沪深港通-沪深港通持股-每日个股统计\nhttps://data.eastmoney.com/hsgtcg/StockStatistics.aspx\nmarket=001, 沪股通持股\nmarket=003, 深股通持股\n:param symbol: choice of {""北向持股"", ""南向持股""}\n:type symbol: str\n:param start_date: 指定数据获取开始的时间, e.g., ""20200713""\n:type start_date: str\n:param end_date: 指定数据获取结束的时间, e.g., ""20200715""\n:type end_date:str\n:return: 指定市场和指定时间段的每日个股统计数据\n:rtype: pandas.DataFrame",
stock_index_pb_lg,A 股PE和PB,乐咕乐股-指数市净率,symbol,"乐咕乐股-指数市净率\nhttps://legulegu.com/stockdata/sz50-pb\n:param symbol: choice of {""上证50"", ""沪深300"", ""上证380"", ""创业板50"", ""中证500"", ""上证180"", ""深证红利"", ""深证100"", ""中证1000"", ""上证红利"", ""中证100"", ""中证800""}\n:type symbol: str\n:return: 指定指数的市净率数据\n:rtype: pandas.DataFrame",
stock_index_pe_lg,A 股PE和PB,乐咕乐股-指数市盈率,symbol,"乐咕乐股-指数市盈率\nhttps://legulegu.com/stockdata/sz50-ttm-lyr\n:param symbol: choice of {""上证50"", ""沪深300"", ""上证380"", ""创业板50"", ""中证500"", ""上证180"", ""深证红利"", ""深证100"", ""中证1000"", ""上证红利"", ""中证100"", ""中证800""}\n:type symbol: str\n:return: 指定指数的市盈率数据\n:rtype: pandas.DataFrame",
stock_individual_basic_info_hk_xq,雪球-个股-公司概况-公司简介,雪球-个股-公司概况-公司简介,symbol;token;timeout,雪球-个股-公司概况-公司简介\nhttps://xueqiu.com/S/00700\n:param symbol: 证券代码\n:type symbol: str\n:param token: 雪球财经的 token\n:type token: str\n:param timeout: 设置超时时间\n:type timeout: float\n:return: 公司简介\n:rtype: pandas.DataFrame,
stock_individual_basic_info_us_xq,雪球-个股-公司概况-公司简介,雪球-个股-公司概况-公司简介,symbol;token;timeout,雪球-个股-公司概况-公司简介\nhttps://xueqiu.com/snowman/S/NVDA/detail#/GSJJ\n:param symbol: 证券代码\n:type symbol: str\n:param token: 雪球财经的 token\n:type token: str\n:param timeout: 设置超时时间\n:type timeout: float\n:return: 公司简介\n:rtype: pandas.DataFrame,
stock_individual_basic_info_xq,雪球-个股-公司概况-公司简介,雪球-个股-公司概况-公司简介,symbol;token;timeout,雪球-个股-公司概况-公司简介\nhttps://xueqiu.com/snowman/S/SH601127/detail#/GSJJ\n:param symbol: 证券代码\n:type symbol: str\n:param token: 雪球财经的 token\n:type token: str\n:param timeout: 设置超时时间\n:type timeout: float\n:return: 公司简介\n:rtype: pandas.DataFrame,
stock_individual_fund_flow,stock_fund,东方财富网-数据中心-资金流向-个股,stock;market,"东方财富网-数据中心-资金流向-个股\nhttps://data.eastmoney.com/zjlx/detail.html\n:param stock: 股票代码\n:type stock: str\n:param market: 股票市场; 上海证券交易所: sh, 深证证券交易所: sz, 北京证券交易所: bj;\n:type market: str\n:return: 近期个股的资金流数据\n:rtype: pandas.DataFrame",
stock_individual_fund_flow_rank,stock_fund,东方财富网-数据中心-资金流向-排名,indicator,"东方财富网-数据中心-资金流向-排名\nhttps://data.eastmoney.com/zjlx/detail.html\n:param indicator: choice of {""今日"", ""3日"", ""5日"", ""10日""}\n:type indicator: str\n:return: 指定 indicator 资金流向排行\n:rtype: pandas.DataFrame",
stock_individual_fund_flow_rank_async,异步接口,东方财富网-数据中心-资金流向-排名 (同步接口),indicator,"东方财富网-数据中心-资金流向-排名 (同步接口)\nhttps://data.eastmoney.com/zjlx/detail.html\n:param indicator: choice of {""今日"", ""3日"", ""5日"", ""10日""}\n:type indicator: str\n:return: 指定 indicator 资金流向排行\n:rtype: pandas.DataFrame",
stock_individual_info_em,东方财富-个股信息,东方财富-个股-股票信息,symbol;timeout,东方财富-个股-股票信息\nhttps://quote.eastmoney.com/concept/sh603777.html?from=classic\n:param symbol: 股票代码\n:type symbol: str\n:param timeout: choice of None or a positive float number\n:type timeout: float\n:return: 股票信息\n:rtype: pandas.DataFrame,
stock_individual_spot_xq,雪球行情数据,雪球-行情中心-个股,symbol;token;timeout,"雪球-行情中心-个股\nhttps://xueqiu.com/S/SH600000\n:param symbol: 证券代码，可以是 A 股代码，A 股场内基金代码，A 股指数，美股代码, 美股指数\n:type symbol: str\n:param token: set xueqiu token\n:type token: str\n:param timeout: choice of None or a positive float number\n:type timeout: float\n:return: 证券最新行情\n:rtype: pandas.DataFrame",
stock_industry_category_cninfo,行业分类数据,巨潮资讯-行业分类数据,symbol,"巨潮资讯-行业分类数据\nhttps://webapi.cninfo.com.cn/#/apiDoc\n查询 p_public0002 接口\n:param symbol: 行业类型; choice of {""证监会行业分类标准"", ""巨潮行业分类标准"", ""申银万国行业分类标准"",\n""新财富行业分类标准"", ""国资委行业分类标准"", ""巨潮产业细分标准"", ""天相行业分类标准"", ""全球行业分类标准""}\n:type symbol: str\n:return: 行业分类数据\n:rtype: pandas.DataFrame",
stock_industry_change_cninfo,行业分类数据,巨潮资讯-上市公司行业归属的变动情况,symbol;start_date;end_date,巨潮资讯-上市公司行业归属的变动情况\nhttps://webapi.cninfo.com.cn/#/apiDoc\n查询 p_stock2110 接口\n:param symbol: 股票代码\n:type symbol: str\n:param start_date: 开始变动日期\n:type start_date: str\n:param end_date: 结束变动日期\n:type end_date: str\n:return: 行业归属的变动情况\n:rtype: pandas.DataFrame,
stock_industry_clf_hist_sw,申万宏源行业分类数据,申万宏源研究-行业分类-全部行业分类,,申万宏源研究-行业分类-全部行业分类\nhttps://www.swsresearch.com/swindex/pdf/SwClass2021/StockClassifyUse_stock.xls\n:return: 个股行业分类变动历史\n:rtype: pandas.DataFrame,
stock_industry_pe_ratio_cninfo,行业市盈率,巨潮资讯-数据中心-行业分析-行业市盈率,symbol;date,"巨潮资讯-数据中心-行业分析-行业市盈率\nhttp://webapi.cninfo.com.cn/#/thematicStatistics\n:param symbol: choice of {""证监会行业分类"", ""国证行业分类""}\n:type symbol: str\n:param date: 查询日期\n:type date: str\n:return: 行业市盈率\n:rtype: pandas.DataFrame",
stock_info_a_code_name,stock-info,沪深京 A 股列表,,,
stock_info_bj_name_code,stock-info,北京证券交易所-股票列表,,,
stock_info_broker_sina,东方财富-财经早餐,新浪财经-证券-证券原创,page,新浪财经-证券-证券原创\nhttps://finance.sina.com.cn/roll/index.d.html?cid=221431\n:param page: 页面号\n:type page: str\n:return: 证券原创文章\n:rtype: pandas.DataFrame,
stock_info_change_name,stock-info,新浪财经-股票曾用名,symbol,新浪财经-股票曾用名\nhttps://vip.stock.finance.sina.com.cn/corp/go.php/vCI_CorpInfo/stockid/300378.phtml\n:param symbol: 股票代码\n:type symbol: str\n:return: 股票曾用名\n:rtype: list,
stock_info_cjzc_em,东方财富-财经早餐,东方财富-财经早餐,,东方财富-财经早餐\nhttps://stock.eastmoney.com/a/czpnc.html\n:return: 财经早餐\n:rtype: pandas.DataFrame,
stock_info_global_cls,东方财富-财经早餐,财联社-电报,symbol,"财联社-电报\nhttps://www.cls.cn/telegraph\n:param symbol: choice of {""全部"", ""重点""}\n:type symbol: str\n:return: 财联社-电报\n:rtype: pandas.DataFrame",
stock_info_global_em,东方财富-财经早餐,东方财富-全球财经快讯,,东方财富-全球财经快讯\nhttps://kuaixun.eastmoney.com/7_24.html\n:return: 全球财经快讯\n:rtype: pandas.DataFrame,
stock_info_global_futu,东方财富-财经早餐,富途牛牛-快讯,,富途牛牛-快讯\nhttps://news.futunn.com/main/live\n:return: 快讯\n:rtype: pandas.DataFrame,
stock_info_global_sina,东方财富-财经早餐,新浪财经-全球财经快讯,,新浪财经-全球财经快讯\nhttps://finance.sina.com.cn/7x24\n:return: 全球财经快讯\n:rtype: pandas.DataFrame,
stock_info_global_ths,东方财富-财经早餐,同花顺财经-全球财经直播,,同花顺财经-全球财经直播\nhttps://news.10jqka.com.cn/realtimenews.html\n:return: 全球财经直播\n:rtype: pandas.DataFrame,
stock_info_sh_delist,stock-info,上海证券交易所-终止上市公司,symbol,"上海证券交易所-终止上市公司\nhttps://www.sse.com.cn/assortment/stock/list/delisting/\n:param symbol: choice of {""全部"", ""沪市"", ""科创板""}\n:type symbol: str\n:return: 终止上市公司\n:rtype: pandas.DataFrame",
stock_info_sh_name_code,stock-info,上海证券交易所-股票列表,,,
stock_info_sz_change_name,stock-info,深证证券交易所-市场数据-股票数据-名称变更,symbol,"深证证券交易所-市场数据-股票数据-名称变更\nhttps://www.szse.cn/www/market/stock/changename/index.html\n:param symbol: choice of {""全称变更"": ""tab1"", ""简称变更"": ""tab2""}\n:type symbol: str\n:return: 名称变更数据\n:rtype: pandas.DataFrame",
stock_info_sz_delist,stock-info,深证证券交易所-暂停上市公司-终止上市公司,symbol,"深证证券交易所-暂停上市公司-终止上市公司\nhttps://www.szse.cn/market/stock/suspend/index.html\n:param symbol: choice of {""暂停上市公司"", ""终止上市公司""}\n:type symbol: str\n:return: 暂停上市公司 or 终止上市公司 的数据\n:rtype: pandas.DataFrame",
stock_info_sz_name_code,stock-info,深圳证券交易所-股票列表,,,
stock_inner_trade_xq,内部交易,雪球-行情中心-沪深股市-内部交易,,雪球-行情中心-沪深股市-内部交易\nhttps://xueqiu.com/hq/insider\n:return: 内部交易\n:rtype: pandas.DataFrame,
stock_institute_hold,股票-机构持股,新浪财经-股票-机构持股一览表,symbol,"新浪财经-股票-机构持股一览表\nhttps://vip.stock.finance.sina.com.cn/q/go.php/vComStockHold/kind/jgcg/index.phtml\n:param symbol: 从 2005 年开始, {""一季报"":1, ""中报"":2 ""三季报"":3 ""年报"":4}, e.g., ""20191"", 其中的 1 表示一季报; ""20193"", 其中的 3 表示三季报;\n:type symbol: str\n:return: 机构持股一览表\n:rtype: pandas.DataFrame",
stock_institute_hold_detail,股票-机构持股,新浪财经-股票-机构持股详情,stock;quarter,"新浪财经-股票-机构持股详情\nhttps://vip.stock.finance.sina.com.cn/q/go.php/vComStockHold/kind/jgcg/index.phtml\n:param stock: 股票代码\n:type stock: str\n:param quarter: 从 2005 年开始, {""一季报"":1, ""中报"":2 ""三季报"":3 ""年报"":4}, e.g., ""20191"", 其中的 1 表示一季报; ""20193"", 其中的 3 表示三季报;\n:type quarter: str\n:return: 指定股票和财报时间的机构持股数据\n:rtype: pandas.DataFrame",
stock_institute_recommend,股票-机构推荐池,新浪财经-机构推荐池-最新投资评级,symbol,"新浪财经-机构推荐池-最新投资评级\nhttp://stock.finance.sina.com.cn/stock/go.php/vIR_RatingNewest/index.phtml\n:param symbol: choice of {'最新投资评级', '上调评级股票', '下调评级股票', '股票综合评级', '首次评级股票', '目标涨幅排名', '机构关注度', '行业关注度', '投资评级选股'}\n:type symbol: str\n:return: 最新投资评级数据\n:rtype: pandas.DataFrame",
stock_institute_recommend_detail,股票-机构推荐池,新浪财经-机构推荐池-股票评级记录,symbol,新浪财经-机构推荐池-股票评级记录\nhttp://stock.finance.sina.com.cn/stock/go.php/vIR_StockSearch/key/sz000001.phtml\n:param symbol: 股票代码\n:type symbol: str\n:return: 具体股票的股票评级记录\n:rtype: pandas.DataFrame,
stock_intraday_em,东财财富-分时数据,东方财富-分时数据,symbol,东方财富-分时数据\nhttps://quote.eastmoney.com/f1.html?newcode=0.000001\n:param symbol: 股票代码\n:type symbol: str\n:return: 分时数据\n:rtype: pandas.DataFrame,
stock_intraday_sina,东财财富-分时数据,新浪财经-日内分时数据,symbol;date,新浪财经-日内分时数据\nhttps://vip.stock.finance.sina.com.cn/quotes_service/view/cn_bill.php?symbol=sz000001\n:param symbol: 股票代码\n:type symbol: str\n:param date: 交易日\n:type date: str\n:return: 分时数据\n:rtype: pandas.DataFrame,
stock_ipo_benefit_ths,同花顺-行业板块,同花顺-数据中心-新股数据-IPO受益股,,同花顺-数据中心-新股数据-IPO受益股\nhttps://data.10jqka.com.cn/ipo/syg/\n:return: IPO受益股\n:rtype: pandas.DataFrame,
stock_ipo_declare,首发企业申报,东方财富网-数据中心-新股申购-首发申报信息-首发申报企业信息,,东方财富网-数据中心-新股申购-首发申报信息-首发申报企业信息\nhttps://data.eastmoney.com/xg/xg/sbqy.html\n:return: 首发申报企业信息\n:rtype: pandas.DataFrame,
